CD15	1	152	141	294	0.003401360544217687	0.9965986394557823
CD25	0	324	762	1086	0.0	1.0
CD29	18	611	921	1550	0.011612903225806452	0.9883870967741936
CD39	10	881	418	1309	0.007639419404125287	0.9923605805958747
CD41	26	255	372	653	0.039816232771822356	0.9601837672281777
CD45	4	205	235	444	0.009009009009009009	0.990990990990991
CD51	107	251	140	498	0.21485943775100402	0.785140562248996
CD54	15	326	322	663	0.02262443438914027	0.9773755656108597
CD56	2	103	105	210	0.009523809523809525	0.9904761904761905
CD73	4	109	119	232	0.017241379310344827	0.9827586206896551
CD85	55	342	533	930	0.05913978494623656	0.9408602150537635
CD87	29	402	349	780	0.03717948717948718	0.9628205128205128
CD93	11	205	225	441	0.024943310657596373	0.9750566893424036
CD98	20	600	592	1212	0.0165016501650165	0.9834983498349835
TD41	15	567	620	1202	0.012479201331114808	0.9875207986688852
TD42	11	386	441	838	0.013126491646778043	0.986873508353222
TD43	0	654	1319	1973	0.0	1.0
TD44	24	1272	1096	2392	0.010033444816053512	0.9899665551839465
TD45	5	405	478	888	0.00563063063063063	0.9943693693693694
TD46	11	965	769	1745	0.006303724928366762	0.9936962750716333
TD47	5	698	364	1067	0.004686035613870665	0.9953139643861293
TD48	10	170	111	291	0.03436426116838488	0.9656357388316151
TD49	14	944	1086	2044	0.00684931506849315	0.9931506849315068
TD50	9	633	731	1373	0.0065549890750182084	0.9934450109249818
