CD15	1	152	141	337	0.002967359050445104	0.8694362017804155
CD25	0	324	762	815	0.0	1.332515337423313
CD29	18	611	921	1841	0.00977729494839761	0.8321564367191744
CD39	10	881	418	1513	0.006609385327164574	0.8585591539986781
CD41	26	255	372	1080	0.024074074074074074	0.5805555555555556
CD45	4	205	235	503	0.007952286282306162	0.8747514910536779
CD51	107	251	140	598	0.17892976588628762	0.6538461538461539
CD54	15	326	322	815	0.018404907975460124	0.7950920245398773
CD56	2	103	105	242	0.008264462809917356	0.859504132231405
CD73	4	109	119	258	0.015503875968992248	0.8837209302325582
CD85	55	342	533	1110	0.04954954954954955	0.7882882882882883
CD87	29	402	349	888	0.03265765765765766	0.8457207207207207
CD93	11	205	225	503	0.02186878727634195	0.8548707753479126
CD98	20	600	592	1430	0.013986013986013986	0.8335664335664336
TD41	15	567	620	1377	0.010893246187363835	0.8620188816267248
TD42	11	386	441	987	0.011144883485309016	0.8378926038500507
TD43	0	654	1319	1469	0.0	1.3430905377808033
TD44	24	1272	1096	2739	0.008762322015334063	0.8645491055129609
TD45	5	405	478	1040	0.004807692307692308	0.8490384615384615
TD46	11	965	769	2057	0.0053475935828877	0.8429752066115702
TD47	5	698	364	1231	0.004061738424045491	0.8627132412672623
TD48	10	170	111	341	0.02932551319648094	0.8240469208211144
TD49	14	944	1086	2454	0.0057049714751426246	0.8272208638956805
TD50	9	633	731	1575	0.005714285714285714	0.866031746031746
